maktimestamp,altitude,velocity
1533207749.532,525.78,
1533207749.953,525.78,
1533207749.961,,-0.32512
1533207750.029,525.78,
1533207750.455,,-0.32512
1533207750.507,525.78,
1533207750.940,518.1600000000001,
1533207751.056,,-0.65024
1533207751.339,518.1600000000001,
1533207751.621,,-0.65024
1533207751.931,525.78,
1533207752.170,,0.32512
1533207752.429,525.78,
1533207752.759,,0.32512
1533207752.880,525.78,
1533207753.181,,1.6256000000000002
1533207753.276,525.78,
1533207753.688,525.78,
1533207753.705,,1.6256000000000002
1533207754.155,,2.60096
1533207754.198,525.78,
1533207754.607,,2.60096
1533207754.755,525.78,
1533207755.131,,3.90144
1533207755.181,533.4,
1533207755.721,533.4,
1533207755.777,,5.20192
1533207756.245,533.4,
1533207756.348,,5.20192
1533207756.710,541.02,
1533207756.824,,7.477760000000001
1533207757.157,541.02,
1533207757.481,,7.477760000000001
1533207757.729,548.64,
1533207757.893,,8.128
1533207758.539,,8.128
1533207758.876,556.26,
1533207759.087,,7.152640000000001
1533207759.476,563.88,
1533207759.591,,7.152640000000001
1533207759.995,563.88,
1533207760.089,,8.77824
1533207760.433,571.5,
1533207760.550,,8.77824
1533207761.005,571.5,
1533207761.167,,8.45312
1533207761.520,579.12,
1533207761.703,,8.45312
1533207762.009,579.12,
1533207762.212,,9.10336
1533207762.462,586.74,
1533207762.530,579.12,
1533207762.688,,9.10336
1533207763.029,594.36,
1533207763.174,,10.40384
1533207763.489,601.98,
1533207763.743,,10.40384
1533207764.045,601.98,
1533207764.320,,10.72896
1533207764.618,609.6,
1533207764.748,,10.72896
1533207765.109,,11.05408
1533207765.207,617.22,
1533207765.655,,11.05408
1533207765.739,624.84,
1533207766.083,,10.07872
1533207766.348,624.84,
1533207766.635,,10.07872
1533207766.785,632.46,
1533207767.011,,9.7536
1533207767.312,640.08,
1533207767.556,,9.7536
1533207767.735,640.08,
1533207767.985,,9.7536
1533207768.170,647.7,
1533207768.550,,9.7536
1533207768.791,647.7,
1533207769.005,,8.45312
1533207769.313,655.32,
1533207769.461,,8.45312
1533207769.736,655.32,
1533207769.820,,6.827520000000001
1533207770.320,662.94,
